,Country,Year,GDP per capita
0,Great Britain,1820,1706
1,Netherlands,1820,1838
2,Other Western Europe,1820,1101
3,Mediterranean Europe,1820,945
4,Northern Europe,1820,898
5,"USA, Canada, NZ, Australia",1820,1202
6,Eastern Europe,1820,683
7,USSR,1820,688
8,"Argentina, Uruguay, Chile",1820,712
9,Other Latin American,1820,636
10,Japan,1820,669
11,"Taiwan, S Korea",1820,591
12,China,1820,600
13,Indian Subcontinent,1820,533
14,Other east Asia,1820,562
15,"Middle East, North Africa",1820,561
16,Sub-Saharan Africa,1820,415
17,World,1820,666
18,Great Britain,1913,4921
19,Netherlands,1913,4049
20,Other Western Europe,1913,3608
21,Mediterranean Europe,1913,1824
22,Northern Europe,1913,2935
23,"USA, Canada, NZ, Australia",1913,5233
24,Eastern Europe,1913,1695
25,USSR,1913,1488
26,"Argentina, Uruguay, Chile",1913,3524
27,Other Latin American,1913,1132
28,Japan,1913,1387
29,"Taiwan, S Korea",1913,835
30,China,1913,552
31,Indian Subcontinent,1913,673
32,Other east Asia,1913,830
33,"Middle East, North Africa",1913,994
34,Sub-Saharan Africa,1913,568
35,World,1913,1524
36,Great Britain,1940,6856
37,Netherlands,1940,4832
38,Other Western Europe,1940,4837
39,Mediterranean Europe,1940,2018
40,Northern Europe,1940,4534
41,"USA, Canada, NZ, Australia",1940,6838
42,Eastern Europe,1940,1969
43,USSR,1940,2144
44,"Argentina, Uruguay, Chile",1940,3894
45,Other Latin American,1940,1551
46,Japan,1940,2874
47,"Taiwan, S Korea",1940,1473
48,China,1940,562
49,Indian Subcontinent,1940,686
50,Other east Asia,1940,840
51,"Middle East, North Africa",1940,1600
52,Sub-Saharan Africa,1940,754
53,World,1940,1958
54,Great Britain,1989,16414
55,Netherlands,1989,16695
56,Other Western Europe,1989,16880
57,Mediterranean Europe,1989,11129
58,Northern Europe,1989,17750
59,"USA, Canada, NZ, Australia",1989,21255
60,Eastern Europe,1989,5905
61,USSR,1989,7112
62,"Argentina, Uruguay, Chile",1989,6453
63,Other Latin American,1989,4965
64,Japan,1989,17943
65,"Taiwan, S Korea",1989,8510
66,China,1989,1834
67,Indian Subcontinent,1989,1232
68,Other east Asia,1989,2419
69,"Middle East, North Africa",1989,3879
70,Sub-Saharan Africa,1989,1166
71,World,1989,5130
72,Great Britain,2008,23742
73,Netherlands,2008,24695
74,Other Western Europe,2008,21190
75,Mediterranean Europe,2008,18218
76,Northern Europe,2008,25221
77,"USA, Canada, NZ, Australia",2008,30152
78,Eastern Europe,2008,8569
79,USSR,2008,7904
80,"Argentina, Uruguay, Chile",2008,8885
81,Other Latin American,2008,6751
82,Japan,2008,22816
83,"Taiwan, S Korea",2008,20036
84,China,2008,6725
85,Indian Subcontinent,2008,2698
86,Other east Asia,2008,4521
87,"Middle East, North Africa",2008,5779
88,Sub-Saharan Africa,2008,1387
89,World,2008,7614
